net_name,direction_relative_to_fpga,group,sharing_scope,fpga_ball,connector_contact,status,notes
ASIC1_DATA1,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA2,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA3,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA4,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA5,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA6,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA7,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_DATA8,Input,Recording data,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_CLK32MHz_Out,Input,Recording timing,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_READ,Input,Recording timing,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC1_SYNC,Input,Recording timing,ASIC 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA1,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA2,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA3,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA4,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA5,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA6,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA7,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_DATA8,Input,Recording data,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_CLK32MHz_Out,Input,Recording timing,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_READ,Input,Recording timing,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC2_SYNC,Input,Recording timing,ASIC 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA1,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA2,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA3,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA4,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA5,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA6,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA7,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_DATA8,Input,Recording data,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_CLK32MHz_Out,Input,Recording timing,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_READ,Input,Recording timing,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC3_SYNC,Input,Recording timing,ASIC 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA1,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA2,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA3,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA4,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA5,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA6,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA7,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_DATA8,Input,Recording data,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_CLK32MHz_Out,Input,Recording timing,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_READ,Input,Recording timing,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC4_SYNC,Input,Recording timing,ASIC 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA1,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA2,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA3,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA4,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA5,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA6,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA7,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_DATA8,Input,Recording data,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_CLK32MHz_Out,Input,Recording timing,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_READ,Input,Recording timing,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC5_SYNC,Input,Recording timing,ASIC 5,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA1,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA2,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA3,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
