ball,amd_function,bank,io_type,memory_byte_group,clock_capability,project_net,assignment_status
P10,DONE_0,0,CONFIG,NA,,DONE_0,Fixed package function; circuit treatment pending
E10,TCK_0,0,CONFIG,NA,,TCK_0,Fixed package function; circuit treatment pending
E8,VCCBATT_0,0,CONFIG,NA,,VCCBATT_0,Fixed package function; circuit treatment pending
K9,VN_0,0,CONFIG,NA,,VN_0,Fixed package function; circuit treatment pending
K10,VREFP_0,0,CONFIG,NA,,VREFP_0,Fixed package function; circuit treatment pending
H9,GNDADC_0,0,CONFIG,NA,,GNDADC_0,Fixed package function; circuit treatment pending
H10,VCCADC_0,0,CONFIG,NA,,VCCADC_0,Fixed package function; circuit treatment pending
L10,DXP_0,0,CONFIG,NA,,DXP_0,Fixed package function; circuit treatment pending
E9,CCLK_0,0,CONFIG,NA,,CCLK_0,Fixed package function; circuit treatment pending
J10,VP_0,0,CONFIG,NA,,VP_0,Fixed package function; circuit treatment pending
J9,VREFN_0,0,CONFIG,NA,,VREFN_0,Fixed package function; circuit treatment pending
L9,DXN_0,0,CONFIG,NA,,DXN_0,Fixed package function; circuit treatment pending
E13,TDO_0,0,CONFIG,NA,,TDO_0,Fixed package function; circuit treatment pending
E11,TDI_0,0,CONFIG,NA,,TDI_0,Fixed package function; circuit treatment pending
P7,INIT_B_0,0,CONFIG,NA,,INIT_B_0,Fixed package function; circuit treatment pending
P13,M1_0,0,CONFIG,NA,,M1_0,Fixed package function; circuit treatment pending
P12,M0_0,0,CONFIG,NA,,M0_0,Fixed package function; circuit treatment pending
E12,TMS_0,0,CONFIG,NA,,TMS_0,Fixed package function; circuit treatment pending
P9,PROGRAM_B_0,0,CONFIG,NA,,PROGRAM_B_0,Fixed package function; circuit treatment pending
P8,CFGBVS_0,0,CONFIG,NA,,CFGBVS_0,Fixed package function; circuit treatment pending
P11,M2_0,0,CONFIG,NA,,M2_0,Fixed package function; circuit treatment pending
R11,IO_0_14,14,HR,NA,,TBD,Unassigned user IO
K17,IO_L1P_T0_D00_MOSI_14,14,HR,0,,TBD,Unassigned user IO
K18,IO_L1N_T0_D01_DIN_14,14,HR,0,,TBD,Unassigned user IO
L14,IO_L2P_T0_D02_14,14,HR,0,,TBD,Unassigned user IO
M14,IO_L2N_T0_D03_14,14,HR,0,,TBD,Unassigned user IO
L15,IO_L3P_T0_DQS_PUDC_B_14,14,HR,0,,TBD,Unassigned user IO
L16,IO_L3N_T0_DQS_EMCCLK_14,14,HR,0,,TBD,Unassigned user IO
L18,IO_L4P_T0_D04_14,14,HR,0,,TBD,Unassigned user IO
M18,IO_L4N_T0_D05_14,14,HR,0,,TBD,Unassigned user IO
R12,IO_L5P_T0_D06_14,14,HR,0,,TBD,Unassigned user IO
R13,IO_L5N_T0_D07_14,14,HR,0,,TBD,Unassigned user IO
L13,IO_L6P_T0_FCS_B_14,14,HR,0,,TBD,Unassigned user IO
M13,IO_L6N_T0_D08_VREF_14,14,HR,0,,TBD,Unassigned user IO
R18,IO_L7P_T1_D09_14,14,HR,1,,TBD,Unassigned user IO
T18,IO_L7N_T1_D10_14,14,HR,1,,TBD,Unassigned user IO
N14,IO_L8P_T1_D11_14,14,HR,1,,TBD,Unassigned user IO
P14,IO_L8N_T1_D12_14,14,HR,1,,TBD,Unassigned user IO
N17,IO_L9P_T1_DQS_14,14,HR,1,,TBD,Unassigned user IO
P18,IO_L9N_T1_DQS_D13_14,14,HR,1,,TBD,Unassigned user IO
M16,IO_L10P_T1_D14_14,14,HR,1,,TBD,Unassigned user IO
M17,IO_L10N_T1_D15_14,14,HR,1,,TBD,Unassigned user IO
N15,IO_L11P_T1_SRCC_14,14,HR,1,SRCC,TBD,Unassigned user IO
N16,IO_L11N_T1_SRCC_14,14,HR,1,SRCC,TBD,Unassigned user IO
P17,IO_L12P_T1_MRCC_14,14,HR,1,MRCC,TBD,Unassigned user IO
R17,IO_L12N_T1_MRCC_14,14,HR,1,MRCC,TBD,Unassigned user IO
P15,IO_L13P_T2_MRCC_14,14,HR,2,MRCC,TBD,Unassigned user IO
R15,IO_L13N_T2_MRCC_14,14,HR,2,MRCC,TBD,Unassigned user IO
T14,IO_L14P_T2_SRCC_14,14,HR,2,SRCC,TBD,Unassigned user IO
T15,IO_L14N_T2_SRCC_14,14,HR,2,SRCC,TBD,Unassigned user IO
R16,IO_L15P_T2_DQS_RDWR_B_14,14,HR,2,,TBD,Unassigned user IO
T16,IO_L15N_T2_DQS_DOUT_CSO_B_14,14,HR,2,,TBD,Unassigned user IO
V15,IO_L16P_T2_CSI_B_14,14,HR,2,,TBD,Unassigned user IO
V16,IO_L16N_T2_A15_D31_14,14,HR,2,,TBD,Unassigned user IO
U17,IO_L17P_T2_A14_D30_14,14,HR,2,,TBD,Unassigned user IO
U18,IO_L17N_T2_A13_D29_14,14,HR,2,,TBD,Unassigned user IO
U16,IO_L18P_T2_A12_D28_14,14,HR,2,,TBD,Unassigned user IO
V17,IO_L18N_T2_A11_D27_14,14,HR,2,,TBD,Unassigned user IO
T11,IO_L19P_T3_A10_D26_14,14,HR,3,,TBD,Unassigned user IO
U11,IO_L19N_T3_A09_D25_VREF_14,14,HR,3,,TBD,Unassigned user IO
U12,IO_L20P_T3_A08_D24_14,14,HR,3,,TBD,Unassigned user IO
V12,IO_L20N_T3_A07_D23_14,14,HR,3,,TBD,Unassigned user IO
V10,IO_L21P_T3_DQS_14,14,HR,3,,TBD,Unassigned user IO
V11,IO_L21N_T3_DQS_A06_D22_14,14,HR,3,,TBD,Unassigned user IO
U14,IO_L22P_T3_A05_D21_14,14,HR,3,,TBD,Unassigned user IO
V14,IO_L22N_T3_A04_D20_14,14,HR,3,,TBD,Unassigned user IO
T13,IO_L23P_T3_A03_D19_14,14,HR,3,,TBD,Unassigned user IO
U13,IO_L23N_T3_A02_D18_14,14,HR,3,,TBD,Unassigned user IO
T9,IO_L24P_T3_A01_D17_14,14,HR,3,,TBD,Unassigned user IO
T10,IO_L24N_T3_A00_D16_14,14,HR,3,,TBD,Unassigned user IO
R10,IO_25_14,14,HR,NA,,TBD,Unassigned user IO
