connector,contact,signal,direction_relative_to_FPGA,FPGA_ball,status,electrical_requirement
J5,1,ASIC1_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,2,ASIC1_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,3,ASIC1_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,4,ASIC1_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,5,ASIC1_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,6,ASIC1_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,7,ASIC1_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,8,ASIC1_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,9,ASIC1_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,10,ASIC1_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,11,ASIC1_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,12,ASIC2_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,13,ASIC2_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,14,ASIC2_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,15,ASIC2_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,16,ASIC2_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,17,ASIC2_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,18,ASIC2_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,19,ASIC2_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,20,ASIC2_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,21,ASIC2_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,22,ASIC2_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,23,ASIC3_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,24,ASIC3_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,25,ASIC3_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,26,ASIC3_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,27,ASIC3_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,28,ASIC3_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,29,ASIC3_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,30,ASIC3_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,31,ASIC3_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,32,ASIC3_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,33,ASIC3_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,34,ASIC4_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,35,ASIC4_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,36,ASIC4_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,37,ASIC4_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,38,ASIC4_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,39,ASIC4_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,40,ASIC4_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,41,ASIC4_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,42,ASIC4_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,43,ASIC4_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,44,ASIC4_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,45,CHIP_RESET_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
