reference,value,group,status,footprint,side,x_mm,y_mm,rotation_deg,courtyard_bbox_mm,courtyard_bbox_area_mm2
U1,XC7A200T-1SBG484C candidate,FPGA and configuration,Device selected; exact ordering code proposed,Package_BGA:Xilinx_SBG484,Top,29,29,0,"[18.5, 18.5, 39.5, 39.5]",441.0
U2,S25FL256SAGMFI000 candidate,FPGA and configuration,256 Mbit boot flash candidate; not recording RAM,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,Top,9.5,28,0,"[3.57, 22.6, 15.43, 33.4]",128.088
U3,DDR3 x16 PACKAGE ONLY,Recording memory allowance,"8x14 mm package allowance; capacity, part and MIG pin map TBD",Package_BGA:Micron_FBGA-96_8x14mm_Layout9x16_P0.8mm,Top,47,30,0,"[42.0, 22.0, 52.0, 38.0]",160.0
U4,ADP5052 PACKAGE PROXY,Power allowance,"7x7 body / 5.6x5.6 EP; land pattern, stencil and thermal vias NOT validated",Package_CSP:LFCSP-VQ-48-1EP_7x7mm_P0.5mm,Top,31,54,0,"[26.94, 49.94, 35.06, 58.06]",65.934
U5,DDR reference / VTT proxy,Recording memory allowance,Package proxy; value/part not selected,Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,Top,47,41.5,0,"[44.87, 39.75, 49.13, 43.25]",14.91
Y1,Oscillator frequency TBD,Clock and controls,"100 MHz was proposed; Gerald notes required frequency depends on FPGA-to-MCU output wire count, rate and protocol; not selected",Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,Top,34.5,14,0,"[32.4, 12.25, 36.6, 15.75]",14.7
J1,Routing 80-contact PROXY,Connectors and debug,Two connectors / 160 gross contacts reserved; mating/pinout/current capacity TBD,Connector_Hirose_DF40:Hirose_DF40C-80DS-0.4V_2x40_P0.4mm,Top,17,6,0,"[7.2, 3.61, 26.8, 8.39]",93.688
J2,Routing 80-contact PROXY,Connectors and debug,Two connectors / 160 gross contacts reserved; mating/pinout/current capacity TBD,Connector_Hirose_DF40:Hirose_DF40C-80DS-0.4V_2x40_P0.4mm,Top,40,6,0,"[30.2, 3.61, 49.8, 8.39]",93.688
J3,Custom micro-HDMI,Connectors and debug,Top-mount package candidate; electrical pinout/protocol TBD,Connector_Video:HDMI_Micro-D_Molex_46765-1xxx,Top,57.6,15.5,90,"[51.9, 11.1, 60.5, 19.9]",75.68
J4,JTAG 2x3 HEADER / pinout TBD,Connectors and debug,Dedicated populated six-contact header; programmer mapping and voltage TBD,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,Top,8.23,37.96,0,"[6.46, 36.19, 12.55, 44.81]",52.496
J5,Power input PROXY,Connectors and debug,Size proxy only; voltage/current/connector rating TBD,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Top,10.5,61,0,"[8.05, 58.8, 14.95, 64.3]",37.95
SW1,PROGRAM_B button proxy,Clock and controls,Package proxy; value/part not selected,Button_Switch_SMD:SW_SPST_TL3342,Top,9.5,17.5,0,"[5.25, 14.5, 13.75, 20.5]",51.0
