Reference,Pin,Pin name,Group,Disposition,Owner/status
U1,N9,DXN_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N10,DXP_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L9,VREFN_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M10,VREFP_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L10,VP_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M9,VN_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E12,VCCBATT_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y17,IO_0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y16,IO_L1P_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA16,IO_L1N_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB16,IO_L2P_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB17,IO_L2N_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA13,IO_L3P_T0_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB13,IO_L3N_T0_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA15,IO_L4P_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB15,IO_L4N_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y13,IO_L5P_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA14,IO_L5N_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W14,IO_L6P_T0_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y14,IO_L6N_T0_VREF_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB11,IO_L7P_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB12,IO_L7N_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA9,IO_L8P_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB10,IO_L8N_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA10,IO_L9P_T1_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA11,IO_L9N_T1_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V10,IO_L10P_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W10,IO_L10N_T1_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y11,IO_L11P_T1_SRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y12,IO_L11N_T1_SRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W11,IO_L12P_T1_MRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W12,IO_L12N_T1_MRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V13,IO_L13P_T2_MRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V14,IO_L13N_T2_MRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U15,IO_L14P_T2_SRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V15,IO_L14N_T2_SRCC_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T14,IO_L15P_T2_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T15,IO_L15N_T2_DQS_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W15,IO_L16P_T2_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W16,IO_L16N_T2_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T16,IO_L17P_T2_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U16,IO_L17N_T2_13,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P20,IO_0_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V22,IO_L3N_T0_DQS_EMCCLK_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T21,IO_L4P_T0_D04_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
